# --- Fernando Pessoa (English renderings) ---
Everything is worthwhile if the soul is not small.	Fernando Pessoa	
I am the size of what I see.	Fernando Pessoa	
I carry within me all the dreams of the world.	Fernando Pessoa	"Tobacco Shop"
To live is not necessary; to create is necessary.	Fernando Pessoa	
To be great, be whole: nothing of yours exaggerate or exclude.	Fernando Pessoa	
All that sleeps is a child again.	Fernando Pessoa	

# --- Tao Te Ching (Laozi) ---
A journey of a thousand miles begins beneath one’s feet.	Laozi	Tao Te Ching
Nature does not hurry, yet everything is accomplished.	Laozi	Tao Te Ching
He who knows that enough is enough will always have enough.	Laozi	Tao Te Ching
To the mind that is still, the whole universe surrenders.	Laozi	Tao Te Ching
The soft overcomes the hard; the gentle overcomes the rigid.	Laozi	Tao Te Ching

# --- Stoics ---
You have power over your mind, not outside events. Realize this, and you will find strength.	Marcus Aurelius	Meditations
What stands in the way becomes the way.	Marcus Aurelius	Meditations
Waste no more time arguing what a good man should be. Be one.	Marcus Aurelius	Meditations
No man is free who is not master of himself.	Epictetus	Discourses
It is not things themselves that disturb us, but our judgments about them.	Epictetus	Enchiridion
We suffer more in imagination than in reality.	Seneca	Letters
Luck is what happens when preparation meets opportunity.	Seneca	Letters

# --- Heraclitus / Presocratics ---
No man ever steps in the same river twice.	Heraclitus	
Character is destiny.	Heraclitus	
The way up and the way down are one and the same.	Heraclitus	

# --- Sun Tzu ---
In the midst of chaos, there is also opportunity.	Sun Tzu	The Art of War
Victorious warriors win first and then go to war.	Sun Tzu	The Art of War

# --- Emerson / Thoreau / Pascal / Wilde / Confucius / Shakespeare ---
What you do speaks so loudly that I cannot hear what you say.	Ralph Waldo Emerson	
Adopt the pace of nature: her secret is patience.	Ralph Waldo Emerson	
Our life is frittered away by detail—simplify, simplify.	Henry David Thoreau	Walden
All of humanity's problems stem from man's inability to sit quietly in a room alone.	Blaise Pascal	Pensées
Be yourself; everyone else is already taken.	Oscar Wilde	
It does not matter how slowly you go as long as you do not stop.	Confucius	
The fault, dear Brutus, is not in our stars, but in ourselves.	William Shakespeare	Julius Caesar
Brevity is the soul of wit.	William Shakespeare	Hamlet
There is nothing either good or bad, but thinking makes it so.	William Shakespeare	Hamlet
